37	1330
32	1400
26	904
30	955
70	2545
24	970
41	1560
67	1960
63	2000
70	2600
81	3280
347	16000
26	980
36	1250
19	752
20	815
25	1147
35	1500
120	3587
40	1355
30	1245
25	1100
21	1120
44	1225
35	1250
54	1280
39	1114
34	1290
28	1300
32	1300
40	1304
42	1340
31	1344
33	1290
39	1364
47	1400
33	1400
37	1420
42	1420
46	1445
37	1500
46	1544
42	1550
49	1500
48	1612
50	1650
54	1533
54	1663
45	1584
53	1680
40	1700
35	1700
40	1700
35	1700
60	1700
30	1600
34	1700
64	1710
47	1600
43	1750
62	1765
50	1790
53	1689
50	1795
50	1800
60	1700
42	1800
52	1850
45	1850
41	1750
63	1850
53	1850
45	1850
53	1875
55	1900
46	1950
73	1750
53	2000
64	2044
38	2100
65	2100
59	2100
47	2100
75	2107
83	2116
69	2132
68	2000
69	2180
72	2100
40	2200
50	2200
60	2200
68	2216
69	2240
35	2249
78	2282
65	2300
54	2300
60	2320
64	2324
64	2324
76	2367
70	2400
70	2400
71	2445
84	2450
90	2450
96	2280
89	2250
75	2415
55	2470
56	2600
56	2650
56	2650
91	2675
100	2550
73	2700
94	2780
50	2800
60	2800
90	2850
96	2941
96	2941
50	3000
83	2800
99	3000
88	3000
104	3010
85	2950
70	3200
60	3200
84	3200
103	3234
108	3300
70	3420
88	3350
101	3130
103	3500
70	3700
53	3705
53	3705
72	3800
91	3900
97	3700
135	4000
80	4000
116	3850
152	4407
159	5000
162	5233
137	5249
160	5500
157	5600
160	5970
152	6000
152	6000
180	7450
182	7280
220	10000
347	14300
347	15000
20	775
19	816
19	800
18	900
28	900
24	888
21	960
30	966
19	1000
26	1040
31	1048
32	1072
20	1090
26	1100
21	1150
23	1180
30	1200
32	1200
20	1200
20	1200
28	1218
21	1250
34	1250
22	1300
35	1329
30	1340
32	1500
32	1500
59	1550
50	1900
71	1910
50	2700
82	2950
50	2700
161	6500
150	7500
31	1048
45	1650
29	1100
33	1133
45	1500
35	1530
55	1520
32	1600
54	1620
60	1700
46	1820
66	1850
71	1939
74	1958
87	1750
62	2090
68	2102
75	2162
80	2150
74	2250
80	2359
112	2400
96	2459
112	2400
96	2459
86	2535
90	2650
98	2650
105	2900
70	2950
88	3000
105	3234
120	3243
117	4200
173	4938
31	1100
23	700
21	880
15	930
27	940
21	950
21	950
21	1000
36	1380
57	1700
49	1740
76	2367
83	2800
104	3000
44	1365
20	855
30	1250
69	2132
77	2840
96	2614
19	693
20	1000
27	2200
60	1900
72	2347
103	3460
25	1100
30	1200
40	1313
54	1490
59	1850
62	1880
64	1900
48	1900
87	2008
106	2960
114	3200
110	3220
129	3380
125	3950
15	645
17	682
20	745
45	1780
54	1595
105	4200
150	9500
29	973
36	1100
50	1851
33	1105
40	1200
56	1704
15	800
34	985
29	1000
26	1006
37	1100
32	1220
35	1230
30	1270
31	1280
38	1290
39	1300
34	1340
39	1350
40	1380
47	1390
40	1390
52	1400
40	1400
33	1400
40	1500
50	1550
51	1570
45	1590
35	1600
37	1600
46	1627
56	1690
57	1696
45	1700
47	1700
75	1705
51	1750
49	1750
40	1800
64	1830
62	1726
35	1850
42	1875
45	1900
64	1930
61	1990
50	2000
64	2044
69	2060
50	2100
73	1922
70	2190
66	2250
55	2250
65	2300
80	2300
88	2309
54	2450
89	2471
52	2500
32	2500
63	2500
76	2500
73	2587
101	2700
84	2700
81	2750
68	2800
60	2800
85	2886
110	2900
95	3000
101	3000
90	3000
100	2840
100	3100
72	3179
114	3200
110	3200
110	3000
105	3200
101	3300
95	3300
108	3300
103	3460
78	3500
120	3650
100	3660
112	3680
145	3700
117	4500
131	4600
117	4930
173	4937
100	5100
162	5233
162	5249
152	5000
175	5307
235	5950
180	7450
415	25000
11	730
14	738
18	821
16	850
25	854
24	910
19	940
20	950
21	950
23	976
27	990
29	1190
30	1095
40	1210
28	1250
24	1255
24	1255
32	1300
32	1380
42	1500
34	1500
29	1510
30	1550
50	1560
35	1580
47	1640
40	1650
34	1665
55	1865
64	1920
42	2000
41	2000
73	2130
57	2200
80	2300
60	2500
70	3750
138	3800
127	4100
148	4300
115	4500
347	15000
14	637
14	680
18	700
20	960
20	775
40	1250
30	1380
54	1630
50	1650
62	1765
64	1900
77	1787
64	1920
69	2132
69	2132
60	2200
69	2272
70	2400
70	2350
40	2657
76	2999
80	3000
103	3460
124	3600
347	16000
180	20000
70	2290
116	2927
14	700
19	755
24	990
21	1058
20	1095
37	1100
29	1280
35	1350
45	1400
33	1550
64	1900
55	2200
100	3140
20	600
16	600
20	890
30	1050
31	1100
49	1650
73	2090
112	6300
16	930
84	1980
23	885
47	1060
48	1200
38	1500
20	890
42	1300
29	900
24	1150
22	840
29	928
30	981
31	1180
33	1198
47	1450
50	3000
18	875
34	998
25	1000
31	1250
40	1480
46	1900
70	2500
28	950
27	1180
40	1550
41	1333
40	1580
27	850
13	488
18	619
23	820
32	1350
57	1475
38	1397
52	1460
114	3200
136	5000
22	790
14	800
18	810
26	940
27	898
33	1137
18	810
26	940
27	898
33	1137
60	1600
58	2097
20	733
230	12000
27	1166
38	1500
45	1900
64	1900
45	1950
65	2000
95	2950
20	1200
20	1300
20	1400
58	1690
40	1940
70	2100
70	2490
48	1490
58	2020
70	2050
42	1220
44	1610
